# CRAMS v1.1 - List of nuclei
#Z, A, isTertiary, beta half-life [Myr], ISM_isotopic_fraction
 1,  1, 1,      -1,         0
 1,  1, 0,      -1,  99.99806
 1,  2, 0,      -1,   0.00194
 2,  3, 0,      -1,  0.016597
 2,  4, 0,      -1, 99.983403
 3,  6, 0,      -1,     7.589
 3,  7, 0,      -1,    92.411
 4,  7, 0,      -1,        0.
 4,  9, 0,      -1,      100.
 4, 10, 0,   1.387,        0.
 5, 10, 0,      -1,     19.82
 5, 11, 0,      -1,     80.18
 6, 12, 0,      -1,   98.8922
 6, 13, 0,      -1,    1.1078
 6, 14, 0, 5.73e-3,        0.
 7, 14, 0,      -1,   99.6337
 7, 15, 0,      -1,    0.3663
 8, 16, 0,      -1,   99.7628
 8, 17, 0,      -1,    0.0372
 8, 18, 0,      -1,   0.20004
 9, 19, 0,      -1,      100.
10, 20, 0,      -1,   92.9431
10, 21, 0,      -1,    0.2228
10, 22, 0,      -1,    6.8341
11, 23, 0,      -1,      100.
12, 24, 0,      -1,    78.992
12, 25, 0,      -1,    10.003
12, 26, 0,      -1,    11.005
13, 26, 0,    0.91,        0.
13, 27, 0,      -1,      100.
14, 28, 0,      -1,  92.22968
14, 29, 0,      -1,   4.68316
14, 30, 0,      -1,   3.08716
15, 31, 0,      -1,      100.
16, 32, 0,      -1,    95.018
16, 33, 0,      -1,      0.75
16, 34, 0,      -1,     4.215
16, 36, 0,      -1,     0.017
17, 35, 0,      -1,    75.771
17, 36, 0,   0.307,        0.
17, 37, 0,      -1,    24.229
18, 36, 0,      -1,   84.5946
18, 37, 0,      -1,        0.
18, 38, 0,      -1,   15.3808
18, 40, 0,      -1,    0.0246
19, 39, 0,      -1,  93.25811
19, 40, 0,      -1,  0.011672
19, 41, 0,      -1,   6.73022
20, 40, 0,      -1,    96.941
20, 41, 0,      -1,        0.
20, 42, 0,      -1,     0.647
20, 43, 0,      -1,     0.135
20, 44, 0,      -1,     2.086
20, 46, 0,      -1,     0.004
20, 48, 0,      -1,     0.187
21, 45, 0,      -1,      100.
22, 44, 0,      -1,        0.
22, 46, 0,      -1,     8.249
22, 47, 0,      -1,     7.437
22, 48, 0,      -1,     73.72
22, 49, 0,      -1,     5.409
22, 50, 0,      -1,     5.185
23, 49, 0,      -1,        0.
23, 50, 0,      -1,    0.2497
23, 51, 0,      -1,   99.7503
24, 48, 0,      -1,        0.
24, 50, 0,      -1,    4.3452
24, 51, 0,      -1,        0.
24, 52, 0,      -1,   83.7895
24, 53, 0,      -1,    9.5006
24, 54, 0,      -1,    2.3647
25, 53, 0,      -1,        0.
25, 54, 0,   0.494,        0.
25, 55, 0,      -1,      100.
26, 54, 0,      -1,     5.845
26, 55, 0,      -1,        0.
26, 56, 0,      -1,    91.754
26, 57, 0,      -1,     2.119
26, 58, 0,      -1,     0.282
26, 60, 0,     1.5,        0.
27, 57, 0,      -1,        0.
27, 59, 0,      -1,      100.
28, 56, 0,      -1,        0.
28, 58, 0,      -1,   68.0769
28, 59, 0,      -1,        0.
28, 60, 0,      -1,   26.2231
28, 61, 0,      -1,    1.1399
28, 62, 0,      -1,    3.6345
28, 64, 0,      -1,    0.9256
