# CRAMS v1.1 - List of nuclei
#Z,  A, isTertiary, decay time [Myr], ISM_isotopic_fraction, injection_abundance, injection_slope
 1,  1,   0,      -1,  99.99806,      0.,   4.33
 1,  2,   0,      -1,   0.00194,      0.,   4.33
 2,  3,   0,      -1,  0.016597,      0.,   4.33
 2,  4,   0,      -1, 99.983403,      0.,   4.33
 3,  6,   0,      -1,     7.589,      0.,   4.33
 3,  7,   0,      -1,    92.411,      0.,   4.33
 4,  7,   0,      -1,        0.,      0.,   4.33
 4,  9,   0,      -1,      100.,      0.,   4.33
 4, 10,   0,   2.178,        0.,      0.,   4.33
 5, 10,   0,      -1,     19.82,      0.,   4.33
 5, 11,   0,      -1,     80.18,      0.,   4.33
 6, 12,   0,      -1,   98.8922,      0.,   4.33
 6, 13,   0,      -1,    1.1078,      0.,   4.33
 6, 14,   0, 8.27e-3,        0.,      0.,   4.33
 7, 14,   0,      -1,   99.6337,      0.,   4.33
 7, 15,   0,      -1,    0.3663,      0.,   4.33
 8, 16,   0,      -1,   99.7628,      0.,   4.33
 8, 17,   0,      -1,    0.0372,      0.,   4.33
 8, 18,   0,      -1,   0.20004,      0.,   4.33
 9, 19,   0,      -1,      100.,      0.,   4.33
10, 20,   0,      -1,   92.9431,      0.,   4.33
10, 21,   0,      -1,    0.2228,      0.,   4.33
10, 22,   0,      -1,    6.8341,      0.,   4.33
11, 23,   0,      -1,      100.,      0.,   4.33
12, 24,   0,      -1,    78.992,      0.,   4.33
12, 25,   0,      -1,    10.003,      0.,   4.33
12, 26,   0,      -1,    11.005,      0.,   4.33
13, 26,   0,   1.313,        0.,      0.,   4.33
13, 27,   0,      -1,      100.,      0.,   4.33
14, 28,   0,      -1,  92.22968,      0.,   4.33
14, 29,   0,      -1,   4.68316,      0.,   4.33
14, 30,   0,      -1,   3.08716,      0.,   4.33
15, 31,   0,      -1,      100.,      0.,   4.33
16, 32,   0,      -1,    95.018,      0.,   4.33
16, 33,   0,      -1,      0.75,      0.,   4.33
16, 34,   0,      -1,     4.215,      0.,   4.33
16, 36,   0,      -1,     0.017,      0.,   4.33
17, 35,   0,      -1,    75.771,      0.,   4.33
17, 36,   0,   0.443,        0.,      0.,   4.33
17, 37,   0,      -1,    24.229,      0.,   4.33
18, 36,   0,      -1,   84.5946,      0.,   4.33
18, 37,   0,      -1,        0.,      0.,   4.33
18, 38,   0,      -1,   15.3808,      0.,   4.33
18, 40,   0,      -1,    0.0246,      0.,   4.33
19, 39,   0,      -1,  93.25811,      0.,   4.33
19, 40,   0,      -1,  0.011672,      0.,   4.33
19, 41,   0,      -1,   6.73022,      0.,   4.33
20, 40,   0,      -1,    96.941,      0.,   4.33
20, 41,   0,      -1,        0.,      0.,   4.33
20, 42,   0,      -1,     0.647,      0.,   4.33
20, 43,   0,      -1,     0.135,      0.,   4.33
20, 44,   0,      -1,     2.086,      0.,   4.33
20, 46,   0,      -1,     0.004,      0.,   4.33
20, 48,   0,      -1,     0.187,      0.,   4.33
21, 45,   0,      -1,      100.,      0.,   4.33
22, 44,   0,      -1,        0.,      0.,   4.33
22, 46,   0,      -1,     8.249,      0.,   4.33
22, 47,   0,      -1,     7.437,      0.,   4.33
22, 48,   0,      -1,     73.72,      0.,   4.33
22, 49,   0,      -1,     5.409,      0.,   4.33
22, 50,   0,      -1,     5.185,      0.,   4.33
23, 49,   0,      -1,        0.,      0.,   4.33
23, 50,   0,      -1,    0.2497,      0.,   4.33
23, 51,   0,      -1,   99.7503,      0.,   4.33
24, 48,   0,      -1,        0.,      0.,   4.33
24, 50,   0,      -1,    4.3452,      0.,   4.33
24, 51,   0,      -1,        0.,      0.,   4.33
24, 52,   0,      -1,   83.7895,      0.,   4.33
24, 53,   0,      -1,    9.5006,      0.,   4.33
24, 54,   0,      -1,    2.3647,      0.,   4.33
25, 53,   0,      -1,        0.,      0.,   4.33
25, 54,   0,   0.909,        0.,      0.,   4.33
25, 55,   0,      -1,      100.,      0.,   4.33
26, 54,   0,      -1,     5.845,      0.,   4.33
26, 55,   0,      -1,        0.,      0.,   4.33
26, 56,   0,      -1,    91.754,      0.,   4.33
26, 57,   0,      -1,     2.119,      0.,   4.33
26, 58,   0,      -1,     0.282,      0.,   4.33
26, 60,   0,      -1,        0.,      0.,   4.33
27, 57,   0,      -1,        0.,      0.,   4.33
27, 59,   0,      -1,      100.,      0.,   4.33
28, 56,   0,      -1,        0.,      0.,   4.33
28, 58,   0,      -1,   68.0769,      0.,   4.33
28, 59,   0,      -1,        0.,      0.,   4.33
28, 60,   0,      -1,   26.2231,      0.,   4.33
28, 61,   0,      -1,    1.1399,      0.,   4.33
28, 62,   0,      -1,    3.6345,      0.,   4.33
28, 64,   0,      -1,    0.9256,      0.,   4.33
