R_GV,Be7_flux_R2p7,Be7_err_minus,Be7_err_plus,Be9_flux_R2p7,Be9_err_minus,Be9_err_plus,Be10_flux_R2p7,Be10_err_minus,Be10_err_plus
1.666,0.835,0.039,0.039,0.435,0.038,0.038,0.069,0.036,0.039
2.201,1.249,0.039,0.039,0.743,0.039,0.036,0.138,0.036,0.036
2.827,1.683,0.043,0.043,1.131,0.039,0.039,0.240,0.036,0.039
3.589,2.085,0.048,0.051,1.491,0.048,0.051,0.339,0.046,0.039
4.463,2.534,0.105,0.102,1.800,0.100,0.094,0.454,0.056,0.062
5.496,2.754,0.112,0.108,2.256,0.113,0.113,0.460,0.066,0.066
6.717,3.002,0.113,0.107,2.330,0.115,0.118,0.567,0.071,0.051
8.127,3.055,0.120,0.117,2.394,0.117,0.120,0.641,0.076,0.076
9.778,3.208,0.131,0.125,2.491,0.128,0.128,0.741,0.074,0.071
11.701,3.260,0.115,0.118,2.567,0.112,0.115,0.781,0.054,0.051
13.872,3.226,0.113,0.117,2.511,0.108,0.112,0.874,0.066,0.059
16.420,3.206,0.120,0.120,2.477,0.104,0.097,0.838,0.059,0.066
19.368,3.206,0.130,0.130,2.417,0.097,0.100,0.889,0.077,0.074
22.791,3.149,0.138,0.138,2.284,0.102,0.112,0.929,0.100,0.094
