R_GV,Be7_flux_R2p7,Be7_err_minus,Be7_err_plus,Be9_flux_R2p7,Be9_err_minus,Be9_err_plus,Be10_flux_R2p7,Be10_err_minus,Be10_err_plus
2.137,0.719,0.033,0.159,0.394,0.036,0.119,0.033,0.033,0.033
2.640,1.116,0.036,0.177,0.697,0.036,0.152,0.091,0.036,0.033
3.276,1.550,0.051,0.058,1.051,0.033,0.047,0.170,0.036,0.051
3.997,1.969,0.069,0.173,1.420,0.054,0.054,0.257,0.033,0.072
4.852,2.489,0.083,0.090,1.766,0.079,0.076,0.387,0.040,0.061
5.874,2.756,0.101,0.094,2.185,0.101,0.163,0.452,0.043,0.036
7.064,3.074,0.112,0.108,2.308,0.098,0.105,0.546,0.040,0.051
8.472,3.189,0.116,0.116,2.496,0.112,0.105,0.632,0.051,0.051
10.080,3.240,0.116,0.123,2.474,0.112,0.112,0.647,0.054,0.054
11.941,3.348,0.116,0.119,2.597,0.108,0.101,0.784,0.040,0.040
14.103,3.341,0.119,0.119,2.633,0.108,0.123,0.849,0.043,0.043
16.566,3.319,0.119,0.116,2.604,0.108,0.105,0.856,0.043,0.043
19.482,3.225,0.112,0.119,2.518,0.101,0.105,0.827,0.047,0.040
22.800,3.117,0.112,0.112,2.424,0.101,0.101,0.892,0.047,0.047
26.638,3.052,0.116,0.108,2.496,0.123,0.108,0.849,0.051,0.043
31.046,2.893,0.108,0.108,2.279,0.105,0.105,0.813,0.054,0.051
36.073,2.619,0.105,0.112,2.272,0.134,0.130,0.936,0.079,0.076
41.855,2.532,0.112,0.112,2.005,0.163,0.166,0.885,0.116,0.116
