R_GV,Be9_over_Be7,Be9_over_Be7_err_minus,Be9_over_Be7_err_plus,Be10_over_Be9,Be10_over_Be9_err_minus,Be10_over_Be9_err_plus
1.677,0.519,0.018,0.017,0.150,0.030,0.030
2.213,0.593,0.015,0.014,0.182,0.035,0.033
2.839,0.671,0.018,0.016,0.209,0.035,0.038
3.600,0.714,0.019,0.020,0.224,0.034,0.034
4.471,0.709,0.025,0.027,0.254,0.036,0.036
5.500,0.820,0.028,0.028,0.202,0.032,0.032
6.725,0.778,0.029,0.027,0.243,0.037,0.036
8.135,0.785,0.027,0.027,0.267,0.035,0.035
9.786,0.778,0.029,0.029,0.296,0.031,0.032
11.686,0.787,0.016,0.017,0.303,0.023,0.023
13.876,0.778,0.017,0.019,0.349,0.028,0.026
16.420,0.773,0.019,0.018,0.339,0.025,0.026
19.372,0.754,0.021,0.021,0.368,0.034,0.032
22.787,0.727,0.029,0.028,0.403,0.046,0.047
