Ek_over_n_GeV_per_n,Be10_over_Be9,Be10_over_Be9_err_minus,Be10_over_Be9_err_plus,Be10_over_Be7,Be10_over_Be7_err_minus,Be10_over_Be7_err_plus
0.413,0.147,0.010,0.009,0.105,0.007,0.006
0.601,0.168,0.010,0.010,0.115,0.007,0.006
0.841,0.182,0.011,0.012,0.124,0.007,0.007
1.139,0.181,0.012,0.013,0.114,0.007,0.007
1.506,0.200,0.021,0.021,0.118,0.010,0.010
1.952,0.206,0.021,0.021,0.119,0.010,0.010
2.486,0.224,0.023,0.023,0.124,0.010,0.011
3.118,0.216,0.023,0.024,0.117,0.010,0.011
3.862,0.252,0.015,0.015,0.132,0.007,0.007
4.729,0.282,0.018,0.018,0.143,0.007,0.007
5.738,0.263,0.017,0.018,0.137,0.008,0.007
6.893,0.267,0.019,0.018,0.134,0.007,0.008
8.247,0.315,0.021,0.022,0.151,0.008,0.008
9.806,0.291,0.022,0.023,0.145,0.009,0.009
11.606,0.329,0.030,0.032,0.162,0.012,0.013
13.677,0.319,0.040,0.044,0.157,0.016,0.017
16.046,0.360,0.068,0.078,0.172,0.024,0.027
