R_GeV,Be10_over_Be9,Be10_over_Be9_err_minus,Be10_over_Be9_err_plus
2.168,0.119,0.010,0.009
2.692,0.147,0.009,0.008
3.315,0.170,0.009,0.009
4.032,0.192,0.012,0.010
4.905,0.225,0.023,0.023
5.928,0.212,0.022,0.021
7.136,0.243,0.022,0.023
8.518,0.258,0.026,0.023
10.126,0.266,0.024,0.026
12.012,0.307,0.019,0.017
14.131,0.327,0.019,0.019
16.693,0.334,0.020,0.020
19.638,0.333,0.019,0.018
22.864,0.372,0.021,0.021
26.730,0.343,0.021,0.022
31.185,0.360,0.026,0.029
36.230,0.415,0.046,0.048
42.093,0.448,0.085,0.087
